Geographic Region,Subfamily,Tribe,Division,Genus,Species,Genus species,Extinct/TAXONOMY,Notes Specimen Taxonomy,Exome
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,desertor,Pseudomys desertor,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,fieldi,Pseudomys fieldi,,,
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,fumeus,Pseudomys fumeus,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,gracilicaudatus,Pseudomys gracilicaudatus,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,hermannsburgensis,Pseudomys hermannsburgensis,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,higginsi,Pseudomys higginsi,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,johnsoni,Pseudomys johnsoni,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,nanus,Pseudomys nanus,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,novaehollandiae,Pseudomys novaehollandiae,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,occidentalis,Pseudomys occidentalis,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,oralis,Pseudomys oralis,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,patrius,Pseudomys patrius,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,shortridgei,Pseudomys shortridgei,,,1
SAHUL,Murinae,Rattini,Rattus,Rattus,arrogans,Rattus arrogans,,Holotype of R. niobe arrogans,
SAHUL,Murinae,Rattini,Rattus,Rattus,colletti,Rattus colletti,,,1
SAHUL,Murinae,Rattini,Rattus,Rattus,detentus,Rattus detentus,,,
WALLACEA,Murinae,Rattini,Rattus,Rattus,facetus,Rattus facetus,,,
SAHUL,Murinae,Rattini,Rattus,Rattus,fuscipes,Rattus fuscipes,,"assimilis, coracius",
SAHUL,Murinae,Rattini,Rattus,Rattus,giluwensis,Rattus giluwensis,,NHM_52_263 from R. giluwe,
SAHUL,Murinae,Rattini,Rattus,Rattus,leucopus,Rattus leucopus,,"cooktownensis, ringens  Rattus_leucopus_(sp)_NHM_69_355 listed as a specimen of R.verecundus verecundus  in Taylor et al 1982 Rattus_leucopus_(verecundus)_NHM_69_354 listed as a specimen of R.verecundus mollis in Taylor et al 1982",1
SAHUL,Murinae,Rattini,Rattus,Rattus,lutreolus,Rattus lutreolus,,,1
SAHUL,Murinae,Rattini,Rattus,Rattus,mordax,Rattus mordax,,Real mordax according to Taylor and Horner,
SAHUL,Murinae,Rattini,Rattus,Rattus,morotaiensis,Rattus morotaiensis,,,1
SAHUL,Murinae,Rattini,Rattus,Rattus,niobe,Rattus niobe,,,
ASIA,Murinae,Rattini,Rattus,Rattus,nitidus,Rattus nitidus,,,
SAHUL,Murinae,Rattini,Rattus,Rattus,praetor,Rattus praetor,,Samples not monophyletic,1
ASIA,Murinae,Rattini,Rattus,Rattus,rattus,Rattus rattus,,,
SAHUL,Murinae,Rattini,Rattus,Rattus,richardsoni,Rattus richardsoni,,,
SAHUL,Murinae,Rattini,Rattus,Rattus,sordidus,Rattus sordidus,,,
SAHUL,Murinae,Rattini,Rattus,Rattus,steini,Rattus steini,,Real steini?,
SAHUL,Murinae,Rattini,Rattus,Rattus,tunneyi,Rattus tunneyi,,,1
SAHUL,Murinae,Rattini,Rattus,Rattus,vandeuseni,Rattus vandeuseni,,Real vandeuseni?,
SAHUL,Murinae,Rattini,Rattus,Rattus,verecundus,Rattus verecundus,,,
SAHUL,Murinae,Rattini,Rattus,Rattus,villosissimus,Rattus villosissimus,,,1
WALLACEA,Murinae,Rattini,Rattus,Rattus,xanthurus,Rattus xanthurus,,,1
SAHUL,Murinae,Hydromyini,Uromys,Solomys,ponceleti,Solomys ponceleti,,,
SAHUL,Murinae,Hydromyini,Uromys,Solomys,salamonis,Solomys salamonis,,,
SAHUL,Murinae,Hydromyini,Uromys,Solomys,salebrosus,Solomys salebrosus,,,1
SAHUL,Murinae,Hydromyini,Uromys,Uromys,anak,Uromys anak,,,
SAHUL,Murinae,Hydromyini,Uromys,Uromys,caudimaculatus,Uromys caudimaculatus,,"aruensis, scaphax, nero. U.c. Cape York and Raja Ampats",1
SAHUL,Murinae,Hydromyini,Uromys,Uromys,emmae,Uromys emmae,,real taxon (not U. caudicmaculatus),
SAHUL,Murinae,Hydromyini,Uromys,Uromys,neobritannicus,Uromys neobritannicus,,,
SAHUL,Murinae,Hydromyini,Uromys,Uromys,siebersi,Uromys siebersi,,real taxon (not U. caudicmaculatus),
SAHUL,Murinae,Hydromyini,Uromys,Uromys,vika,Uromys vika,,sister to U. rex,
SAHUL,Murinae,Hydromyini,Mallomys,Xenuromys,barbatus,Xenuromys barbatus,,,1
SAHUL,Murinae,Hydromyini,Hydromys,Xeromys,myoides,Xeromys myoides,,Aus + NG samples,1
SAHUL,Murinae,Hydromyini,Pseudomys,Zyzomys,argurus,Zyzomys argurus,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Zyzomys,maini,Zyzomys maini,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Zyzomys,palatalis,Zyzomys palatalis,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Zyzomys,pedunculatus,Zyzomys pedunculatus,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Zyzomys,woodwardi,Zyzomys woodwardi,,,1
WALLACEA,Murinae,Rattini,Bunomys,Bunomys,andrewsi,Bunomys andrewsi,,,1
WALLACEA,Murinae,Rattini,Bunomys,Bunomys,chrysocomus,Bunomys chrysocomus,,,1
WALLACEA,Murinae,Rattini,Bunomys,Bunomys,coelestis,Bunomys coelestis,,,
WALLACEA,Murinae,Rattini,Bunomys,Bunomys,penitus,Bunomys penitus,,,
WALLACEA,Murinae,Rattini,Bunomys,Bunomys,prolatus,Bunomys prolatus,,,
WALLACEA,Murinae,Rattini,Bunomys,Bunomys,torajae,Bunomys torajae,,,1
PHILIPPINES,Murinae,Rattini,Maxomys,Crunomys,fallax,Crunomys fallax,,,
WALLACEA,Murinae,Rattini,Bunomys,Frateromys,fratrorum,Frateromys fratrorum,,,
SAHUL,Murinae,Hydromyini,Uromys,Paramelomys,gressitti,Paramelomys gressitti,,"Mt Kinde, Wau. Trapped with P. rubex by Steve D. Probably, P. gressitti.",
SAHUL,Murinae,Hydromyini,Pogonomys,Pogonomys,sylvestris,Pogonomys sylvestris,,Previous sample may be P. championi,
SAHUL,Murinae,Hydromyini,Hydromys,Pseudohydromys,ellermani,Pseudohydromys ellermani,,,
SAHUL,Murinae,Rattini,Rattus,Rattus,novaeguineae,Rattus novaeguineae,,,
ASIA,Murinae,Rattini,Dacnomys,Saxatilomys,paulinae,Saxatilomys paulinae,,,1
WALLACEA,Murinae,Rattini,Bunomys,Taeromys,celebensis,Taeromys celebensis,,,1
WALLACEA,Murinae,Rattini,Bunomys,Taeromys,dominator,Taeromys dominator,,,
WALLACEA,Murinae,Rattini,Bunomys,Taeromys,hamatus,Taeromys hamatus,,,1
WALLACEA,Murinae,Rattini,Bunomys,Taeromys,punicans,Taeromys punicans,,,1
WALLACEA,Murinae,Rattini,Bunomys,Taeromys,taerae,Taeromys taerae,,,1
SUNDA,Murinae,Rattini,Rattus,Rattus,macleari,Rattus macleari,EXTINCT,,
SAHUL,Murinae,Hydromyini,Uromys,Uromys,imperator,Uromys imperator,EXTINCT,,
SAHUL,Murinae,Hydromyini,Uromys,Melomys,cryptomelomys,Melomys cryptomelomys,UNDESCRIBED,Type series designated by Ken,
SAHUL,Murinae,Hydromyini,Hydromys,Leptomys,arfakensis,Leptomys arfakensis,,,
SAHUL,Murinae,Hydromyini,Uromys,Melomys,aerosus,Melomys aerosus,,Check Placement,
SAHUL,Murinae,Hydromyini,Uromys,Melomys,arcium,Melomys arcium,,Significance?,
SAHUL,Murinae,Hydromyini,Uromys,Melomys,bougainville,Melomys bougainville,,,
SAHUL,Murinae,Hydromyini,Uromys,Melomys,caurinus,Melomys caurinus,,,
SAHUL,Murinae,Hydromyini,Uromys,Melomys,cervinipes,Melomys cervinipes,,,
SAHUL,Murinae,Hydromyini,Uromys,Melomys,cooperae,Melomys cooperae,,,
SAHUL,Murinae,Hydromyini,Uromys,Melomys,dollmani,Melomys dollmani,,long-tailed rufescens sister,
SAHUL,Murinae,Hydromyini,Uromys,Melomys,howi,Melomys howi,,,
SAHUL,Murinae,Hydromyini,Uromys,Melomys,talaudium,Melomys talaudium,,,
WALLACEA,Murinae,Rattini,Bunomys,Papagomys,armandvillei,Papagomys armandvillei,,,1
SAHUL,Murinae,Hydromyini,Hydromys,Paraleptomys,rufilatus,Paraleptomys rufilatus,,,
SAHUL,Murinae,Hydromyini,Hydromys,Pseudohydromys,eleanorae,Pseudohydromys eleanorae,,"Sympatric with murinus, important",
SAHUL,Murinae,Hydromyini,Hydromys,Pseudohydromys,fuscus,Pseudohydromys fuscus,,Neohydromys (2 molars),
WALLACEA,Murinae,Rattini,Rattus,Rattus,feliceus,Rattus feliceus,,,
SAHUL,Murinae,Rattini,Rattus,Rattus,jobiensis,Rattus jobiensis,,,
SAHUL,Murinae,Hydromyini,Uromys,Uromys,hadrourus,Uromys hadrourus,,,
PHILIPPINES,Murinae,Hydromyini,Chrotomys,Apomys,sp_KU164868,Apomys sp_KU164868,UNDESCRIBED,,
PHILIPPINES,Murinae,Hydromyini,Chrotomys,Apomys,sp_KU166988,Apomys sp_KU166988,UNDESCRIBED,,
PHILIPPINES,Murinae,Hydromyini,Chrotomys,Apomys,sp_KU167970,Apomys sp_KU167970,UNDESCRIBED,,
AFRICA,Murinae,Arvicanthini,Aethomys,Aethomys,hindei,Aethomys hindei,,,1
AFRICA,Murinae,Arvicanthini,Aethomys,Aethomys,nyikae,Aethomys nyikae,,,1
ASIA,Murinae,Apodemini,Apodemus,Apodemus,semotus,Apodemus semotus,,,
ASIA,Murinae,Apodemini,Apodemus,Apodemus,sylvaticus,Apodemus sylvaticus,,,1
PHILIPPINES,Murinae,Hydromyini,Chrotomys,Apomys,camiguinensis,Apomys camiguinensis,,,
PHILIPPINES,Murinae,Hydromyini,Chrotomys,Apomys,datae,Apomys datae,,,
PHILIPPINES,Murinae,Hydromyini,Chrotomys,Apomys,hylocetes,Apomys hylocetes,,,
PHILIPPINES,Murinae,Hydromyini,Chrotomys,Apomys,insignis,Apomys insignis,,,
PHILIPPINES,Murinae,Hydromyini,Chrotomys,Apomys,lubangensis,Apomys lubangensis,,,1
PHILIPPINES,Murinae,Hydromyini,Chrotomys,Apomys,microdon,Apomys microdon,,,
PHILIPPINES,Murinae,Hydromyini,Chrotomys,Archboldomys,luzonensis,Archboldomys luzonensis,,,1
SUNDA,Murinae,Rattini,Rattus,Bandicota,indica,Bandicota indica,,,1
PHILIPPINES,Murinae,Phloeomyini,Phloeomys,Batomys,russatus,Batomys russatus,,,1
SUNDA,Murinae,Rattini,Berylmys,Berylmys,bowersi,Berylmys bowersi,,,1
ASIA,Murinae,Rattini,Berylmys,Berylmys,mackenziei,Berylmys mackenziei,,,1
PHILIPPINES,Murinae,Rattini,Bunomys,Bullimus,bagobus,Bullimus bagobus,,,1
PHILIPPINES,Murinae,Phloeomyini,Phloeomys,Carpomys,melanurus,Carpomys melanurus,,,1
ASIA,Murinae,Rattini,Dacnomys,Chiromyscus,chiropus,Chiromyscus chiropus,,,
SUNDA,Murinae,Hydromyini,Chiropodomys,Chiropodomys,calamianensis,Chiropodomys calamianensis,,,
PHILIPPINES,Murinae,Hydromyini,Chrotomys,Chrotomys,mindorensis,Chrotomys mindorensis,,,1
PHILIPPINES,Murinae,Hydromyini,Chrotomys,Chrotomys,whiteheadi,Chrotomys whiteheadi,,,1
AFRICA,Murinae,Praomyini,Colomys,Colomys,goslingi,Colomys goslingi,,,1
PHILIPPINES,Murinae,Phloeomyini,Phloeomys,Crateromys,heaneyi,Crateromys heaneyi,,,1
WALLACEA,Murinae,Rattini,Maxomys,Crunomys,celebensis,Crunomys celebensis,,,1
PHILIPPINES,Murinae,Rattini,Maxomys,Crunomys,melanius,Crunomys melanius,,,1
PHILIPPINES,Murinae,Rattini,Maxomys,Crunomys,suncoides,Crunomys suncoides,,,
AFRICA,Murinae,Arvicanthini,Dasymys,Dasymys,incomtus,Dasymys incomtus,,,1
AFRICA,Murinae,Arvicanthini,Dasymys,Dasymys,montanus,Dasymys montanus,,,1
WALLACEA,Murinae,Rattini,Echiothrix,Echiothrix,centrosa,Echiothrix centrosa,,,1
WALLACEA,Murinae,Rattini,Bunomys,Eropeplus,canus,Eropeplus canus,,,1
AFRICA,Murinae,Rattini,Echiothrix,Gracilimus,radix,Gracilimus radix,,,1
AFRICA,Murinae,Arvicanthini,Oenomys,Grammomys,dryas,Grammomys dryas,,,1
WALLACEA,Murinae,Hydromyini,Haeromys,Haeromys,minahassae,Haeromys minahassae,,,1
WALLACEA,Murinae,Rattini,Bunomys,Halmaheramys,bokimekot,Halmaheramys bokimekot,,,1
AFRICA,Murinae,Arvicanthini,Hybomys,Hybomys (Typomys),planifrons,Hybomys planifrons,,,1
AFRICA,Murinae,Arvicanthini,Hybomys,Hybomys,lunaris,Hybomys lunaris,,,1
AFRICA,Murinae,Arvicanthini,Hybomys,Hybomys,univittatus,Hybomys univittatus,,,1
AFRICA,Murinae,Praomyini,Stenocephalemys,Hylomyscus,stella,Hylomyscus stella,,,1
AFRICA,Murinae,Praomyini,Stenocephalemys,Hylomyscus,vulcanorum,Hylomyscus vulcanorum,,,1
WALLACEA,Murinae,Rattini,Echiothrix,Hyorhinomys,stuempkei,Hyorhinomys stuempkei,,,1
SUNDA,Murinae,Rattini,Rattus,Kadarsanomys,sodyi,Kadarsanomys sodyi,,,1
WALLACEA,Murinae,Rattini,Bunomys,Komodomys,rintjanus,Komodomys rintjanus,,,
WALLACEA,Murinae,Rattini,Bunomys,Lenomys,meyeri,Lenomys meyeri,,,1
SUNDA,Murinae,Rattini,Dacnomys,Leopoldamys,sabanus,Leopoldomys sabanus,,fixed to match tree,1
PHILIPPINES,Murinae,Rattini,Rattus,Limnomys,sibuanus,Limnomys sibuanus,,,1
AFRICA,Murinae,Malacomyini,Malacomys,Malacomys,longipes,Malacomys longipes,,,1
WALLACEA,Murinae,Rattini,Dacnomys,Margaretamys,christinae,Margaretamys christinae,,,1
WALLACEA,Murinae,Rattini,Dacnomys,Margaretamys,parvus,Margaretamys parvus,,,1
AFRICA,Murinae,Praomyini,Stenocephalemys,Mastomys,natalensis,Mastomys natalensis,,,1
SUNDA,Murinae,Rattini,Maxomys,Maxomys,bartelsii,Maxomys bartelsii,,,
WALLACEA,Murinae,Rattini,Maxomys,Maxomys,hellwaldii,Maxomys hellwaldii,,,
SUNDA,Murinae,Rattini,Maxomys,Maxomys,hylomyoides,Maxomys hylomyoides,,,
ASIA,Murinae,Rattini,Maxomys,Maxomys,moi,Maxomys moi,,,
WALLACEA,Murinae,Rattini,Maxomys,Maxomys,musschenbroekii,Maxomys musschenbroekii,,,1
SUNDA,Murinae,Rattini,Maxomys,Maxomys,pagensis,Maxomys pagensis,,,
SUNDA,Murinae,Rattini,Maxomys,Maxomys,panglima,Maxomys panglima,,,
SUNDA,Murinae,Rattini,Maxomys,Maxomys,rajah,Maxomys rajah,,,
SUNDA,Murinae,Rattini,Maxomys,Maxomys,surifer,Maxomys surifer,,,1
SUNDA,Murinae,Rattini,Maxomys,Maxomys,whiteheadi,Maxomys whiteheadi,,,
WALLACEA,Murinae,Rattini,Echiothrix,Melasmothrix,naso,Melasmothrix naso,,,1
AFRICA,Murinae,Murini,Mus,Mus,bufo,Mus bufo,,,
ASIA,Murinae,Murini,Mus,Mus,caroli,Mus caroli,,,1
ASIA,Murinae,Murini,Mus,Mus,cervicolor,Mus cervicolor,,,1
SUNDA,Murinae,Murini,Mus,Mus,crociduroides,Mus crociduroides,,,
ASIA,Murinae,Murini,Mus,Mus,macedonicus,Mus macedonicus,,,1
AFRICA,Murinae,Murini,Mus,Mus,minutoides,Mus minutoides,,,1
AFRICA,Murinae,Murini,Mus,Mus,musculoides,Mus musculoides,,,1
ASIA,Murinae,Murini,Mus,Mus,pahari,Mus pahari,,,1
ASIA,Murinae,Murini,Mus,Mus,platythrix,Mus platythrix,,,1
ASIA,Murinae,Murini,Mus,Mus,spicilegus,Mus spicilegus,,,1
ASIA,Murinae,Murini,Mus,Mus,spretus,Mus spretus,,,1
PHILIPPINES,Murinae,Phloeomyini,Phloeomys,Musseromys,anacuao,Musseromys anacuao,,,1
ASIA,Murinae,Rattini,Rattus,Nesokia,indica,Nesokia indica,,,1
ASIA,Murinae,Rattini,Dacnomys,Niviventer,bukit,Niviventer bukit,,,1
SUNDA,Murinae,Rattini,Dacnomys,Niviventer,cremoriventer,Niviventer cremoriventer,,,
SUNDA,Murinae,Rattini,Dacnomys,Niviventer,lepturus,Niviventer lepturus,,,1
SUNDA,Murinae,Rattini,Dacnomys,Niviventer,rapit,Niviventer rapit,,,1
AFRICA,Murinae,Arvicanthini,Oenomys,Oenomys,hypoxanthus,Oenomys hypoxanthus,,,1
AFRICA,Murinae,Otomyini,Otomys,Otomys,denti,Otomys denti,,,1
AFRICA,Murinae,Otomyini,Otomys,Otomys,tropicalis,Otomys tropicalis,,,1
WALLACEA,Murinae,Rattini,Echiothrix,Paucidentomys,vermidax,Paucidentomys vermidax,,,1
AFRICA,Murinae,Arvicanthini,Arvicanthis,Pelomys,isseli,Pelomys isseli,,,1
AFRICA,Murinae,Arvicanthini,Arvicanthis,Pelomys,minor,Pelomys minor,,,1
PHILIPPINES,Murinae,Phloeomyini,Phloeomys,Phloeomys,cumingi,Phloeomys cumingi,,,1
PHILIPPINES,Murinae,Phloeomyini,Phloeomys,Phloeomys,pallidus,Phloeomys pallidus,,,1
SUNDA,Murinae,incertae sedis,Pithecheir,Pithecheir,melanurus,Pithecheir melanurus,,,1
AFRICA,Murinae,Praomyini,Stenocephalemys,Praomys,degraaffi,Praomys degraaffi,,,1
AFRICA,Murinae,Praomyini,Stenocephalemys,Praomys,jacksoni,Praomys jacksoni,,,1
SUNDA,Murinae,Rattini,Rattus,Rattus,argentiventer,Rattus argentiventer,,,1
ASIA,Murinae,Rattini,Rattus,Rattus,exulans,Rattus exulans,,,1
WALLACEA,Murinae,Rattini,Rattus,Rattus,hoffmanni,Rattus hoffmanni,,,1
WALLACEA,Murinae,Rattini,Rattus,Rattus,marmosurus,Rattus marmosurus,,,
PHILIPPINES,Murinae,Hydromyini,Chrotomys,Rhynchomys,isarogensis,Rhynchomys isarogensis,,,1
WALLACEA,Murinae,Rattini,Echiothrix,Sommeromys,macrorhinos,Sommeromys macrorhinos,,,1
SUNDA,Murinae,Rattini,Bunomys,Sundamys (Rattus),annandalei,Sundamys annandalei,,,1
SUNDA,Murinae,Rattini,Bunomys,Sundamys,muelleri,Sundamys muelleri,,,1
PHILIPPINES,Murinae,Rattini,Rattus,Tarsomys,apoensis,Tarsomys apoensis,,,1
WALLACEA,Murinae,Rattini,Echiothrix,Tateomys,macrocercus,Tateomys macrocercus,,,1
WALLACEA,Murinae,Rattini,Echiothrix,Tateomys,rhinogradoides,Tateomys rhinogradoides,,,1
AFRICA,Murinae,Arvicanthini,Oenomys,Thamnomys,kempi,Thamnomys kempi,,,1
ASIA,Murinae,incertae sedis,incertae sedis,Vandeleuria,oleracea,Vandeleuria oleracea,,,1
WALLACEA,Murinae,Rattini,Echiothrix,Waiomys,mamasae,Waiomys mamasae,,,1
AFRICA,Murinae,Praomyini,Colomys,Zelotomys,woosnami,Zelotomys woosnami,,,1
AFRICA,Murinae,Murini,Mus,Mus,musculus,Mus musculus,,,1
ASIA,Murinae,Rattini,Rattus,Rattus,norvegicus,Rattus norvegicus,,,1
SAHUL,Murinae,Hydromyini,Hydromys,Mirzamys,norahae,Mirzamys norahae,,Aplin Pseudohydromys=Mirzamys; possible as collected before Mirzamys named (remind Helgen to check specimen),
ASIA,Murinae,Rattini,Dacnomys,Niviventer,huang,Niviventer huang,,,
ASIA,Murinae,Rattini,Dacnomys,Niviventer,lotipes,Niviventer lotipes,,,
WALLACEA,Murinae,Rattini,Dacnomys,Leopoldamys,herberti,Leopoldamys herberti,,,
ASIA,Murinae,Rattini,Micromys,Micromys,erythrotis,Micromys erythrotis,,,
ASIA,Murinae,Rattini,Dacnomys,Chiromyscus,langbianis,Chiromyscus langbianis,,,
ASIA,Murinae,Rattini,Dacnomys,Chiromyscus,thomasi,Chiromyscus thomasi,,,
AFRICA,Murinae,Otomyini,Otomys,Otomys,helleri,Otomys helleri,,,
AFRICA,Murinae,Otomyini,Otomys,Otomys,fortior,Otomys fortior,,,
SUNDA,Murinae,Rattini,Dacnomys,Leopoldamys,ciliatus,Leopoldamys ciliatus,,,
ASIA,Murinae,Rattini,Dacnomys,Leopoldamys,milleti,Leopoldamys milleti,,,
ASIA,Murinae,Rattini,Dacnomys,Leopoldamys,revertens,Leopoldamys revertens,,,
AFRICA,Murinae,Hapalomyini,Hapalomys,Hapalomys,suntsovi,Hapalomys suntsovi,,,
AFRICA,Murinae,Praomyini,Stenocephalemys,Stenocephalemys,ruppi,Stenocephalemys ruppi,,,
AFRICA,Murinae,Praomyini,Stenocephalemys,Stenocephalemys,griseicauda,Stenocephalemys griseicauda,,,
ASIA,Murinae,Rattini,Srilankamys,Srilankamys,ohiensis,Srilankamys ohiensis,,,
AFRICA,Murinae,Praomyini,Stenocephalemys,Praomys,obscurus,Praomys obscurus,,,
AFRICA,Murinae,Otomyini,Otomys,Otomys,burtoni,Otomys burtoni,,,
ASIA,Murinae,Apodemini,Apodemus,Apodemus,avicennicus,Apodemus avicennicus,,,
SAHUL,Murinae,Hydromyini,Conilurus,Conilurus,capricornensis,Conilurus capricornensis,EXTINCT - SUBFOSSIL,NO - Subfossil Only,
WALLACEA,Murinae,incertae sedis,incertae sedis,Coryphomys,buehleri,Coryphomys buehleri,EXTINCT - SUBFOSSIL,,
WALLACEA,Murinae,incertae sedis,incertae sedis,Coryphomys,musseri,Coryphomys musseri,EXTINCT - SUBFOSSIL,,
WALLACEA,Murinae,Rattini,Bunomys,Lenomys,grovesi,Lenomys grovesi,EXTINCT - SUBFOSSIL,,
SAHUL,Murinae,Hydromyini,Uromys,Melomys,spechti,Melomys spechti,EXTINCT - SUBFOSSIL,,
SAHUL,Murinae,Rattini,Rattus,Rattus,sanila,Rattus sanila,EXTINCT - SUBFOSSIL,,
SUNDA,Murinae,Rattini,Maxomys,Maxomys,alticola,Maxomys alticola,,,
SUNDA,Murinae,Rattini,Maxomys,Maxomys,baeodon,Maxomys baeodon,,,
SUNDA,Murinae,Rattini,Maxomys,Maxomys,ochraceiventer,Maxomys ochraceiventer,,,
SUNDA,Murinae,Rattini,Maxomys,Maxomys,tajuddinii,Maxomys tajuddinii,,,
SAHUL,Murinae,Hydromyini,Pseudomys,Notomys,mordax,Notomys mordax,EXTINCT,Extinct,
SAHUL,Murinae,Hydromyini,Pseudomys,Notomys,robustus,Notomys robustus,EXTINCT,Extinct,
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,glaucus,Pseudomys glaucus,EXTINCT,,
SAHUL,Murinae,Hydromyini,Uromys,Melomys,paveli,Melomys paveli,,,
