Species,Locomotor_State,"Adult_Mass(g)",Total_Length(mm),Head-Body_Length(mm),Tail_Length(mm),Hind_Foot_Length(mm),Relative_Tail_Length,Relative_Hind_Foot_Length,Source (Author; Title; Year),,,,,,,,,,,
Leptomys_elegans,Terrestrial,85.46,299.4,151.8,147.6,38.5,0.492985972,0.972332016,Flannery 1995a,,,,,,,,,,,
Limnomys_bryophilus,Terrestrial,64.1,300,130,170,32.6,0.566666667,1.307692308,Rickart et al 2003,,,,,,,,,,,
Limnomys_sibuanus,General,64.3,283.5,127,156.5,29.5,0.552028219,1.232283465,"Nowak 1991, Musser & Heaney 1992",,,,,,,,,,,
Lorentzimys_nouhuysi,Arboreal,14.97,186.6,74.2,112.4,18.6,0.602357985,1.514824798,"Flannery 1995a, Nowak 1991",,,,,,,,,,,
Macruromys_major,Terrestrial,353.625,568.3,240.8,327.5,52.7,0.576280134,1.360049834,"Flannery 1995a, Nowak 1991",,,,,,,,,,,
Malacomys_cansdalei,Amphibious,81.7,340,144,196,42.7,0.576470588,1.361111111,Kingdon et al 2013,,,,,,,,,,,
Malacomys_edwardsi,Amphibious,61.39,301,133,168,33,0.558139535,1.263157895,Kingdon et al 2013,,,,,,,,,,,
Malacomys_longipes,Amphibious,96.27,334.4,156.7,177.7,39.7,0.531399522,1.13401404,Kingdon et al 2013,,,,,,,,,,,
Mallomys_aroaensis,General,1731.995,804,410,394,72,0.490049751,0.96097561,"Flannery 1995a, Nowak 1991",,,,,,,,,,,
Mallomys_istapantap,General,1970.215,747,411,336,70.5,0.449799197,0.817518248,"Flannery 1995a, Nowak 1991",,,,,,,,,,,
Mallomys_rothschildi,Arboreal,1157.9,759.7,380,379.7,65.1,0.499802554,0.999210526,"Flannery 1995a, Nowak 1991",,,,,,,,,,,
Malpaisomys_insularis,Terrestrial,71.33,NA,NA,NA,NA,,,"Nowak 1991, Wilman et al 2014",,,,,,,,,,,
Mammelomys_lanosus,Terrestrial,116.8,286,162.3,123.7,36.6,0.432517483,0.762168823,"Flannery 1995a, Wilman et al 2014",,,,,,,,,,,
Mammelomys_rattoides,Terrestrial,212.245,326,200,126,38,0.386503067,0.63,"Flannery 1995a, Flannery 1995b",,,,,,,,,,,
Margaretamys_beccarii,Arboreal,65.4,317,132,185,28,0.583596215,1.401515152,"Nowak 1991, Musser 1981",,,,,,,,,,,
Margaretamys_christinae,Arboreal,49,286,111,175,20,0.611888112,1.576576577,Mortelliti et al 2012,,,,,,,,,,,
Margaretamys_elegans,Arboreal,121,439.8,180,259.8,36.5,0.590723056,1.443333333,"Nowak 1991, Musser 1981",,,,,,,,,,,
Margaretamys_parvus,Arboreal,40,258,100,158,20,0.612403101,1.58,"Nowak 1991, Musser 1981",,,,,,,,,,,
Mastacomys_fuscus,Terrestrial,125.36,270,161.7,108.3,34,0.401111111,0.669758813,"Strahan 1983, Nowak 1991",,,,,,,,,,,
Mastomys_awashensis,Terrestrial,46,240,122,118,23.8,0.491666667,0.967213115,Kingdon et al 2013,,,,,,,,,,,
Mastomys_coucha,Terrestrial,42.405,185,100,85,20,0.459459459,0.85,Kingdon et al 2013,,,,,,,,,,,
Mastomys_erythroleucus,Terrestrial,56.935,225.7,118,107.7,23,0.4771821,0.912711864,"Kingdon et al 2013,  Nowak 1991",,,,,,,,,,,
Mastomys_huberti,Terrestrial,59.1,253,139,114,25.1,0.450592885,0.820143885,Kingdon et al 2013,,,,,,,,,,,
Mastomys_kollmannspergeri,Terrestrial,105.9,260,142,118,27.2,0.453846154,0.830985915,Kingdon et al 2013,,,,,,,,,,,
Mastomys_natalensis,Terrestrial,90.425,216,108,108,22.3,0.5,1,Kingdon et al 2013,,,,,,,,,,,
Mastomys_pernanus,Terrestrial,19,144,78,66,16.1,0.458333333,0.846153846,"Kingdon et al 2013,  Nowak 1991, Wilman et al 2014",,,,,,,,,,,
Maxomys_bartelsii,Terrestrial,95.23,305,152.5,152.5,33.5,0.5,1,Musser 1979,,,,,,,,,,,
Maxomys_dollmani,General,120,362.2,158.9,203.3,26.8,0.561292104,1.27942102,Musser 1979,,,,,,,,,,,
Maxomys_hellwaldii,Terrestrial,203,385.4,206.1,179.3,37.4,0.465230929,0.869966036,"Nowak 1991, LSUMZ Specimens, Wilman et al 2014",,,,,,,,,,,
Maxomys_hylomyoides,Terrestrial,56.6,245.7,125.9,119.8,29.4,0.487586488,0.951548848,"Nowak 1991, LSUMZ Specimens, Wilman et al 2014",,,,,,,,,,,
Maxomys_moi,Terrestrial,147,344.7,167.9,176.8,37.8,0.512909777,1.053007743,"Nowak 1991,  Francis & Barrett 2008, Wilman et al 2014",,,,,,,,,,,
Maxomys_musschenbroekii,Terrestrial,84.8,274,145.5,128.5,34.5,0.468978102,0.883161512,"Nowak 1991,  Corbett & Hill 1992, Wilman et al 2014",,,,,,,,,,,
Maxomys_ochraceiventer,Terrestrial,158.96,306.3,152.8,153.5,32.5,0.501142671,1.004581152,"Nowak 1991, Nor 2001",,,,,,,,,,,
Maxomys_pagensis,Terrestrial,196,376.1,196.8,179.3,43,0.476734911,0.911077236,"Nowak 1991, Wilman et al 2014",,,,,,,,,,,
Maxomys_panglima,Terrestrial,158.96,399.8,197.9,201.9,41.5,0.505002501,1.020212228,"Nowak 1991, Esselstyn et al 2004",,,,,,,,,,,
Maxomys_rajah,Terrestrial,150,345,172,173,38,0.501449275,1.005813953,"Lekagul and McNeely 1977, Nowak 1991, Francis & Barrett 2008",,,,,,,,,,,
Maxomys_surifer,Terrestrial,154.44,363.8,182.5,181.3,41,0.498350742,0.993424658,"Lekagul and McNeely 1977, Nowak 1991, Francis & Barrett 2008,  Smith and Xie 2013",,,,,,,,,,,
Maxomys_tajuddinii,Terrestrial,66,220.6,106.8,113.8,28.6,0.51586582,1.065543071,"Achmadi et al 2012, IUCN 2017, Wilman et al 2014",,,,,,,,,,,
Maxomys_whiteheadi,Terrestrial,49.165,218,115,103,26,0.472477064,0.895652174,"Lekagul and McNeely 1977, Nowak 1991, Francis & Barrett 2008",,,,,,,,,,,
Melasmothrix_naso,Terrestrial,47.5,206.8,118,88.8,27.5,0.429400387,0.752542373,Nowak 1991,,,,,,,,,,,
Melomys_bannisteri,Terrestrial,58,224,112,112,,0.5,1,Wilman et al 2014,,,,,,,,,,,
Melomys_bougainville,Terrestrial,85.995,289,149,140,27.3,0.484429066,0.939597315,Flannery 1995b,,,,,,,,,,,
Melomys_burtoni,General,80,280,130,150,29,0.535714286,1.153846154,"Strahan 1983,  Van Dyck and Strahan 2008",,,,,,,,,,,
Melomys_capensis,General,100,300,130,170,28,0.566666667,1.307692308,"Strahan 1983,  Nowak 1991, Van Dyck and Strahan 2008,  Watts & Aslin 1981",,,,,,,,,,,
Melomys_cervinipes,Arboreal,120,286.7,140,146.7,28.7,0.511684688,1.047857143,"Strahan 1983, Nowak 1991",,,,,,,,,,,
Melomys_leucogaster,General,112.585,311,156,155,32,0.498392283,0.993589744,"Flannery 1995a, 1995b",,,,,,,,,,,
Melomys_rubicola,Terrestrial,111,327,157,170,,0.519877676,1.082802548,"Nowak 1991, Van Dyck and Strahan 2008",,,,,,,,,,,
Melomys_rufescens,Arboreal,64,273.3,136.3,137,27.2,0.501280644,1.00513573,"Flannery 1995a, 1995b",,,,,,,,,,,
Mesembriomys_gouldii,Arboreal,800,675,300,375,67,0.555555556,1.25,"Strahan 1983, Nowak 1991",,,,,,,,,,,
Mesembriomys_macrurus,Arboreal,300,577,250,327,50,0.566724437,1.308,"Strahan 1983, Van Dyck and Strahan 2008, IUCN 2017,  Watts & Aslin 1981",,,,,,,,,,,
Microhydromys_richardsoni,Terrestrial,9.625,169.3,83,86.3,19.7,0.509746013,1.039759036,"Flannery, Mammals of New Guniea p.248",,,,,,,,,,,
Micromys_minutus,Arboreal,7.096666667,131.9,67,64.9,14.5,0.492039424,0.968656716,"Nowak 1991, Urbani et al 2013",,,,,,,,,,,
Millardia_kathleenae,Terrestrial,93,285.9,147.5,138.4,27.5,0.484085345,0.938305085,"Nowak 1991, Francis & Barrett 2008",,,,,,,,,,,
Millardia_meltada,Terrestrial,67.17,238,119.5,118.5,25,0.49789916,0.991631799,"Nowak 1991,  Menon 2009,  Mishra & Dhanda 1975. Molur et al 2005",,,,,,,,,,,
Muriculus_imberbis,Terrestrial,18.5,125,74,51,16.5,0.408,0.689189189,Kingdon et al 2013,,,,,,,,,,,
Mus_baoulei,Terrestrial,9.2,102.8,65.9,36.9,13.3,0.358949416,0.559939302,"Kingdon et al 2013, Wilman et al 2014",,,,,,,,,,,
Mus_booduga,Terrestrial,13.69,130.8,75.5,55.3,15.6,0.422782875,0.732450331,"Nowak 1991, Francis & Barrett 2008,  Singh et al 2009",,,,,,,,,,,
Mus_bufo,Terrestrial,9.64,135,68.4,66.6,15.3,0.493333333,0.973684211,"Kingdon et al 2013, Lunde and Sarmiento 2002",,,,,,,,,,,
Mus_callewaerti,Terrestrial,9.12,133.6,88.8,44.8,15.3,0.335329341,0.504504505,"Kingdon et al 2013, Wilman et al 2014",,,,,,,,,,,
Mus_caroli,Terrestrial,14.30333333,154,76,78,18,0.506493506,1.026315789,"Lekagul and McNeely 1977, Francis & Barrett 2008, Smith & Xie 2013",,,,,,,,,,,
Mus_cookii,Terrestrial,21.6,174.7,89.7,85,19,0.486548369,0.947603122,"Lekagul and McNeely 1977, Smith & Xie 2013",,,,,,,,,,,
Mus_crociduroides,Terrestrial,28.7,208.3,90.6,117.7,22,0.565050408,1.299116998,"Nowak 1991, Musser & Newcomb 1983, Wilman et al 2014",,,,,,,,,,,
Mus_cypriacus,Terrestrial,15,156,84,72,18,0.461538462,0.857142857,Cucchi et al 2006,,,,,,,,,,,
Mus_famulus,Terrestrial,22.88,NA,NA,NA,NA,,,"Nowak 1991, Molur et al 2005, Wilman et al 2014",,,,,,,,,,,
Mus_fragilicauda,Terrestrial,12,138,77,61,15,0.442028986,0.792207792,Francis & Barrett 2008,,,,,,,,,,,
Mus_haussa,Terrestrial,3,87.7,49.7,38,12,0.433295325,0.764587525,Kingdon et al 2013,,,,,,,,,,,
Mus_indutus,Terrestrial,6.516666667,95.2,53.2,42,14,0.441176471,0.789473684,Kingdon et al 2013,,,,,,,,,,,
Mus_macedonicus,Terrestrial,16.65,NA,NA,NA,NA,,,Frynta 1994,,,,,,,,,,,
Mus_mahomet,Terrestrial,10.15,120.5,67,53.5,15,0.443983402,0.798507463,"Kingdon et al 2013, Yalden & Largen 1992",,,,,,,,,,,
Mus_mattheyi,Terrestrial,9.52,90.4,52,38.4,12.1,0.424778761,0.738461538,"Kingdon et al 2013, Wilman et al 2014",,,,,,,,,,,
Mus_minutoides,Terrestrial,6.876666667,95.8,54.8,41,12.5,0.427974948,0.748175182,Kingdon et al 2013,,,,,,,,,,,
Mus_musculoides,Terrestrial,9.876666667,160.9,83.7,77.2,18,0.479801119,0.922341697,Kingdon et al 2013,,,,,,,,,,,
Mus_musculus,General,17.05,161.5,81.4,80.1,17.8,0.495975232,0.984029484,"Kingdon et al 2013, Strahan 1983, Heaney et al 2016, Lekagul and McNeely 1977,  Nowak 1991",,,,,,,,,,,
Mus_neavei,Terrestrial,8,127.2,88.8,38.4,13,0.301886792,0.432432432,Kingdon et al 2013,,,,,,,,,,,
Mus_pahari,Terrestrial,23.6,175,90,85,20.3,0.485714286,0.944444444,"Lekagul and McNeely 1977, Nowak 1991, Smith and Xie 2013",,,,,,,,,,,
Mus_platythrix,Terrestrial,29.08,NA,NA,NA,NA,,,"Nowak 1991, Molur et al 2005",,,,,,,,,,,
Mus_setulosus,Terrestrial,11.18,137.3,81.8,55.5,14.1,0.404224326,0.678484108,Kingdon et al 2013,,,,,,,,,,,
Mus_sorella,Terrestrial,9.5,99.7,59.9,39.8,13.1,0.399197593,0.664440735,"Kingdon et al 2013, Wilman et al 2014",,,,,,,,,,,
Mus_spicilegus,Terrestrial,16.65,NA,NA,NA,NA,,,"Nowak 1991,  Simeonovska-Nikolova 2000",,,,,,,,,,,
Mus_spretus,Terrestrial,15.61,201.8,139.7,62.1,16,0.307730426,0.44452398,Kingdon 2013,,,,,,,,,,,
Mus_tenellus,Terrestrial,9.48,92.2,53.8,38.4,12.6,0.4164859,0.713754647,Kingdon 2013,,,,,,,,,,,
Mus_terricolor,Terrestrial,8.3,132,68,64,15,0.484848485,0.941176471,"Nowak 1991, Singh et al 2009",,,,,,,,,,,
Mus_triton,Terrestrial,12.36,129.7,75.7,54,15.9,0.416345412,0.71334214,Kingdon et al 2013,,,,,,,,,,,
Musseromys_anacuao,Arboreal,19,162.5,78.5,84,18,0.516923077,1.070063694,Heaney et al 2016,,,,,,,,,,,
Musseromys_beneficus,Arboreal,20,160,78,82,18,0.5125,1.051282051,Heaney et al 2016,,,,,,,,,,,
Musseromys_gulantang,Arboreal,15.5,178,77,101,20,0.56741573,1.311688312,"Heaney et al 2016, Heaney et al 2009",,,,,,,,,,,
Musseromys_inopinatus,Arboreal,18.25,164.5,78,86.5,18.5,0.525835866,1.108974359,Heaney et al 2016,,,,,,,,,,,
Mylomys_dybowskii,Terrestrial,110.48,338.2,198.4,139.8,34.6,0.413364873,0.704637097,Kingdon et al 2013,,,,,,,,,,,
Myomyscus_angolensis,Terrestrial,52.89,243,121,122,24.2,0.502057613,1.008264463,Kingdon et al 2013,,,,,,,,,,,
Myomyscus_brockmani,Terrestrial,29.5,213.5,90,123.5,22,0.578454333,1.372222222,Kingdon et al 2013,,,,,,,,,,,
Myomyscus_verreauxii,Terrestrial,42.5,249,106,143,24,0.574297189,1.349056604,Kingdon et al 2013,,,,,,,,,,,
Myomyscus_yemeni,Terrestrial,52.7,NA,NA,NA,NA,,,"IUCN 2017, Wilman et al 2014",,,,,,,,,,,
Nesokia_indica,Terrestrial,211.04,304,183,121,39,0.398026316,0.661202186,"Kingdon et al 2013, Nowak 1991, Menon 2009, Smith & Xie 2013",,,,,,,,,,,
Niviventer_andersoni,General,147,405.5,174,231.5,35.5,0.570900123,1.33045977,"Nowak 1991, Wilman et al 2014",,,,,,,,,,,
Niviventer_brahma,General,97.3,364.5,145.5,219,32.5,0.600823045,1.505154639,"Smith and Xie 2013, Musser 1981",,,,,,,,,,,
Niviventer_confucianus,General,32.5,334.8,147.5,187.3,30,0.559438471,1.269830508,"Lekagul and McNeely 1979, Nowak 1991",,,,,,,,,,,
Niviventer_coninga,General,80.65,390.5,172.5,218,33.5,0.558258643,1.263768116,Nowak 1991,,,,,,,,,,,
Niviventer_cremoriventer,General,72.32,328.1,147.5,180.6,24.8,0.550441938,1.22440678,"Lekagul and McNeely 1979, Francis & Barrett 2008, Musser 1973, Musser 1981, Wells et al 2004 ",,,,,,,,,,,
Niviventer_culturatus,Terrestrial,81.17,325,140,185,32,0.569230769,1.321428571,"Smith and Xie 2013, Musser 1981",,,,,,,,,,,
Niviventer_eha,Terrestrial,53.6,301,121,180,29.5,0.598006645,1.487603306,"Nowak 1991, Smith and Xie 2013, Wilman et al 2014",,,,,,,,,,,
Niviventer_excelsior,General,102,354.6,152.5,202.1,32,0.569937958,1.325245902,"Nowak 1991, Smith and Xie 2013, Wilman et al 2014",,,,,,,,,,,
Niviventer_fulvescens,General,77.195,317.6,142.6,175,29.5,0.551007557,1.227208976,"Lekagul and McNeely 1977, Francis & Barrett 2008, Smith and Xie 2013, Musser et al 2006",,,,,,,,,,,
Niviventer_hinpoon,Terrestrial,61,282,140,142,26.5,0.503546099,1.014285714,"Lekagul and McNeely 1979, Musser 1981",,,,,,,,,,,
Niviventer_langbianis ,Arboreal,69.8,348,145,203,,0.583333333,1.4,"Musser 1981, Balakirev et al 2011, Wilman et al 2014",,,,,,,,,,,
Niviventer_lepturus,General,84.8,NA,NA,NA,NA,,,"Nowak 1991, Wilman et al 2014",,,,,,,,,,,
Niviventer_niviventer,Terrestrial,100,358.5,146.5,212,,0.591352859,1.447098976,"Musser 1981, Balakirev et al 2011",,,,,,,,,,,
Niviventer_rapit,General,79.73,354,143,211,32,0.596045198,1.475524476,"Lekagul and McNeely 1979, Nowak 1991",,,,,,,,,,,
Niviventer_tenaster,Terrestrial,103,360,155,205,33.5,0.569444444,1.322580645,"Nowak 1991, Francis & Barrett 2008, Wilman et al 2014",,,,,,,,,,,
Notomys_alexis,Terrestrial,50,255,115,140,36,0.549019608,1.217391304,"Strahan 1983, Van Dyck and Strahan 2008",,,,,,,,,,,
Notomys_aquilo,Terrestrial,41.495,285,112,173,40,0.607017544,1.544642857,"Strahan 1983, Van Dyck and Strahan 2008, Watts & Aslin 1981",,,,,,,,,,,
Notomys_cervinus,Terrestrial,42.395,260,110,150,36,0.576923077,1.363636364,"Strahan 1983, Van Dyck and Strahan 2008",,,,,,,,,,,
Notomys_fuscus,Terrestrial,37.14,228,106.5,121.5,33.3,0.532894737,1.14084507,"Strahan 1983, Nowak 1991",,,,,,,,,,,
Notomys_mitchellii,Terrestrial,50,280,125,155,37,0.553571429,1.24,"Strahan 1983, Cockburn 1981, Van Dyck and Strahan 2008",,,,,,,,,,,
Oenomys_hypoxanthus,General,88.42,330.1,158.8,171.3,32,0.518933656,1.078715365,Kingdon et al 2013,,,,,,,,,,,
Otomys_anchietae,Terrestrial,118,247.7,155.7,92,30.3,0.371417037,0.590879897,"Kingdon et al 2013, Wilman et al 2014",,,,,,,,,,,
Otomys_angoniensis,Terrestrial,104.12,299,220,79,25.5,0.264214047,0.359090909,Kingdon et al 2013,,,,,,,,,,,
Otomys_barbouri,Terrestrial,117.8,256,177,79,27,0.30859375,0.446327684,Kingdon et al 2013,,,,,,,,,,,
Otomys_burtoni,Terrestrial,90,234,156,78,30,0.333333333,0.5,Kingdon et al 2013,,,,,,,,,,,
Otomys_denti,General,140,267,162.5,104.5,28.8,0.391385768,0.643076923,Kingdon et al 2013,,,,,,,,,,,
Otomys_irroratus,Terrestrial,129.225,259,161,98,32,0.378378378,0.608695652,"Kingdon et al 2013, Bronner et al 1988",,,,,,,,,,,
Otomys_jacksoni,Terrestrial,127.2,NA,NA,NA,NA,,,"Taylor et al 2011, Wilman et al 2014",,,,,,,,,,,
Otomys_lacustris,Terrestrial,127.2,260.5,158,102.5,30.6,0.393474088,0.648734177,"Kingdon et al 2013, IUCN 2017, Wilman et al 2014",,,,,,,,,,,
Otomys_laminatus,Terrestrial,188.5,308,199,109,30,0.353896104,0.547738693,Kingdon et al 2013,,,,,,,,,,,
Otomys_occidentalis,Terrestrial,77,221,143,78,28,0.352941176,0.545454545,Kingdon et al 2013,,,,,,,,,,,
Otomys_orestes,Terrestrial,127.2,236.5,156.7,79.8,27.1,0.337420719,0.50925335,"Taylor et al 2011, Carleton & Byrne 2006",,,,,,,,,,,
Otomys_sloggetti,Terrestrial,84,189,127,62,28,0.328042328,0.488188976,"Kingdon et al 2013, Nowak 1991",,,,,,,,,,,
Otomys_tropicalis,Terrestrial,111.3,259.5,178,81.5,28.7,0.314065511,0.457865169,Kingdon et al 2013,,,,,,,,,,,
Otomys_unisulcatus,Terrestrial,105,252,158,94,29,0.373015873,0.594936709,"Kingdon et al 2013, Nowak 1991",,,,,,,,,,,
Papagomys_armandvillei,Terrestrial,73.8,773.5,428.5,345,85,0.446024564,0.805134189,"Nowak 1991, Musser 1981b",,,,,,,,,,,
Parahydromys_asper,Amphibious,533.33,479.3,225,254.3,53.1,0.530565408,1.130222222,Flannery 1995a,,,,,,,,,,,
Paramelomys_levipes,Terrestrial,85.605,281.7,144,137.7,34.4,0.488817891,0.95625,Flannery 1995a,,,,,,,,,,,
Paramelomys_platyops,Terrestrial,107.8,282.7,170.2,112.5,30,0.397948355,0.660987074,"Flannery 1995a, 1995b",,,,,,,,,,,
Paramelomys_rubex,Terrestrial,47.68,239,118,121,28.2,0.506276151,1.025423729,Flannery 1995a,,,,,,,,,,,
Parotomys_brantsii,General,129.35,255.2,157.5,97.7,30.7,0.382836991,0.62031746,Kingdon et al 2013,,,,,,,,,,,
Parotomys_littledalei,Terrestrial,115.995,261,153,108,27,0.413793103,0.705882353,Kingdon et al 2013,,,,,,,,,,,
Paruromys_dominator,General,304.605,486.5,223.5,263,51.9,0.540596095,1.176733781,Nowak 1991,,,,,,,,,,,
Paucidentomys_vermidax,Terrestrial,103.5,362.5,163.5,199,37.5,0.548965517,1.217125382,Esselstyn et al 2012,,,,,,,,,,,
Pelomys_campanae,Terrestrial,77,289,144,145,32,0.501730104,1.006944444,Kingdon et al 2013,,,,,,,,,,,
Pelomys_fallax,Terrestrial,112.73,280,147,133,32,0.475,0.904761905,"Kingdon et al 2013, Nowak 1991",,,,,,,,,,,
Phloeomys_cumingi,Arboreal,1896.23,711.5,417.5,294,79.5,0.413211525,0.704191617,"Heany et al 2016, Nowak 1991",,,,,,,,,,,
Phloeomys_pallidus,Arboreal,2097.07,738.5,404,334.5,85,0.452945159,0.827970297,"Heany et al 2016, Nowak 1991",,,,,,,,,,,
Pithecheir_melanurus,Arboreal,108,369,167.5,201.5,30,0.546070461,1.202985075,"Nowak 1991, Wilman et al 2014",,,,,,,,,,,
Pithecheir_parvus,Arboreal,106,357,164,193,28,0.540616246,1.176829268,"Nowak 1991,  Francis & Barrett 2008,  Pimsai et al 2014, Wilman et al 2014",,,,,,,,,,,
Pogonomelomys_mayeri,Arboreal,110.835,336,147,189,29.3,0.5625,1.285714286,Flannery 1995a,,,,,,,,,,,
Pogonomys_loriae,General,94.745,370.3,151,219.3,26.6,0.592222522,1.452317881,"Flannery 1995a, 1995b",,,,,,,,,,,
Pogonomys_macrourus,General,47.19,277.5,120.5,157,20.9,0.565765766,1.302904564,"Flannery 1995a, 1995b",,,,,,,,,,,
Pogonomys_sylvestris,General,44.185,280,122,158,21.7,0.564285714,1.295081967,Flannery 1995a,,,,,,,,,,,
Praomys_daltoni,General,34.445,224.6,108.8,115.8,20,0.515583259,1.064338235,"Kingdon et al 2013, Happold 1987",,,,,,,,,,,
Praomys_degraaffi,Terrestrial,39.1,246,110.4,135.6,25.8,0.551219512,1.22826087,Kingdon et al 2013,,,,,,,,,,,
Praomys_delectorum,General,32.345,224.3,100.1,124.2,23.8,0.553722693,1.240759241,Kingdon et al 2013,,,,,,,,,,,
Praomys_derooi,Terrestrial,32,212.8,97.1,115.7,21.4,0.543703008,1.191555098,Kingdon et al 2013,,,,,,,,,,,
Praomys_hartwigi,General,48.03,287.1,125,162.1,26.5,0.564611634,1.2968,Kingdon et al 2013,,,,,,,,,,,
Praomys_jacksoni,General,39.905,262.5,120,142.5,22.3,0.542857143,1.1875,"Kingdon et al 2013, Lunde & Sarmiento 2002",,,,,,,,,,,
Praomys_lukolelae,Terrestrial,41.65,265,123.8,141.2,30.2,0.532830189,1.140549273,Kingdon et al 2013,,,,,,,,,,,
Praomys_minor,General,41.84,231,102,129,21.7,0.558441558,1.264705882,"Kingdon et al 2013, Wilman et al 2014",,,,,,,,,,,
Praomys_misonnei,General,40,250,114,136,22.8,0.544,1.192982456,Kingdon et al 2013,,,,,,,,,,,
Praomys_morio,General,42.365,243.4,113.5,129.9,23.5,0.5336894,1.144493392,Kingdon et al 2013,,,,,,,,,,,
Praomys_mutoni,General,45,260,114,146,22,0.561538462,1.280701754,Kingdon et al 2013,,,,,,,,,,,
Praomys_obscurus,Terrestrial,47.2,282,121,161,27.1,0.570921986,1.330578512,Kingdon et al 2013,,,,,,,,,,,
Praomys_petteri,General,49,259,119,140,26,0.540540541,1.176470588,Kingdon et al 2013,,,,,,,,,,,
Praomys_rostratus,General,50,252,114,138,26.5,0.547619048,1.210526316,Kingdon et al 2013,,,,,,,,,,,
Praomys_tullbergi,General,35.35,241,109,132,25,0.547717842,1.211009174,Kingdon et al 2013,,,,,,,,,,,
Praomys_verschureni,General,50.8,264.3,121.3,143,30.1,0.541051835,1.178895301,Kingdon et al 2013,,,,,,,,,,,
